ra_010650_0010#0,"""<%me><br>讓你久等了。"""
ra_010650_0020#0,"""我已經明白你的來意了。<br>這邊請。"""
ra_010650_0030#0,"""我們原本想要主動聯絡你，不過<br>因為這麼做很危險，所以<br>最後還是作罷......"""
ra_010650_0040#0,"""他已經到了哦。<br>羅傑歐先生。"""
ra_010650_0050#0,"""<%me>！<br>太好了，我們又見面的......！"""
ra_010650_0060#0,"""啊！不可以！<br>你的傷勢還沒痊癒呢！"""
ra_010650_0070#0,"""好痛......不過，真是太好了。<br><%me><br>還好你平安無事......"""
ra_010650_0080#0,"""我還以為你也被攻擊了<br>幸好並沒有。"""
ra_010650_0090#0,"""......我直接切入重點。<br>ARKS在行星納貝流士<br>肯定藏著某些秘密。"""
ra_010650_0100#0,"""他們以為我是去調查他們的秘密<br>我差點就沒命了......<br>這就是我為何會變成這樣並待在這裡的原因。"""
ra_010650_0110#0,"""不過，非常丟臉的是<br>我當時究竟是如何逃出生天的<br>完全想不起來......"""
ra_010650_0120#0,"""......不久之前，<br>渾身是傷的他，被一個<br>ARKS背著來到這裡。"""
ra_010650_0130#0,"""那個小個子的女孩<br>只說了一句『把他藏起來』<br>說完之後就消失無蹤了。"""
ra_010650_0140#0,"""至於到底發生了什麼事情<br>我完全不知道......<br>不過，我知道情況非常凶險。"""
ra_010650_0150#0,"""話說回來，對方竟然想暗中殺掉他<br>可以肯定他們一定隱藏著非常危險的秘密。"""
ra_010650_0160#0,"""......話說回來，我已經<br>被他們給盯上了。<br>現在的我無法公開行動......"""
ra_010650_0170#0,"""不過<br><%me>。"""
ra_010650_0180#0,"""如果是你的話，一定比我<br>更能發揮調查的能力......"""
ra_010650_0190#0,"""拜託你代替我去調查<br>納貝流士的秘密吧！"""
ra_010650_0200#0,"""只要盡你所能就行了，<br>拜託你了......"""
ra_010650_0210#0,"""A.P.238/3/29"""
ra_010650_0010#1,"""<%me>さん<br>お待ちしていました。"""
ra_010650_0020#1,"""目的はわかっています。<br>こっちにどうぞ。"""
ra_010650_0030#1,"""こちらから連絡を入れたかったのですが<br>危険だからやめたほうがいい、と<br>止められてしまいまして……"""
ra_010650_0040#1,"""いらっしゃいましたよ。<br>ロジオさん。"""
ra_010650_0050#1,"""<%me>さん！<br>よかった、また会えて……！"""
ra_010650_0060#1,"""ああっ、ダメですよ！<br>怪我、治ってないんですから！"""
ra_010650_0070#1,"""痛たた……でも、よかった。<br><%me>さんが<br>無事で……"""
ra_010650_0080#1,"""あなたも狙われてるかと<br>思いましたよ。"""
ra_010650_0090#1,"""……ずばり言います。<br>アークスは惑星ナベリウスに<br>何かを隠しています。"""
ra_010650_0100#1,"""私は、それを探っていると思われ<br>殺されかかった……<br>それが、ここでこうしている理由です。"""
ra_010650_0110#1,"""ただ、恥ずかしいことに<br>どうやって助けてもらったかとかは<br>全然覚えてなくて……"""
ra_010650_0120#1,"""……少し前に、<br>傷だらけのこの人をかついだ<br>アークスがやってきたんです。"""
ra_010650_0130#1,"""その小さな女の子は<br>ただ『この人を匿ってやって』と<br>それだけを告げて、いなくなりました。"""
ra_010650_0140#1,"""何が起こってるのか<br>私にはわかりませんけど……<br>とっても危ない感じがします。"""
ra_010650_0150#1,"""しかし、秘密裏に殺そうとするほど<br>危険な何かを、隠しているのも事実。"""
ra_010650_0160#1,"""……とはいえ、私はもう<br>目を付けられてしまいました。<br>表だっての行動はできません……"""
ra_010650_0170#1,"""でも<br><%me>さん。"""
ra_010650_0180#1,"""あなたなら、私なんかよりも<br>上手く立ち回れるはず……"""
ra_010650_0190#1,"""お願いです、ナベリウスの秘密を<br>探ってもらえませんか！"""
ra_010650_0200#1,"""出来る限りで構いません、ですから<br>どうか、お願いです……"""
ra_010650_0210#1,"""A.P.238/3/29"""
