ssc_508010_0010#0,"""……어라? 누군가 했더니<br><%me>구나."""
ssc_508010_0020#0,"""여긴 어쩐 일이야?"""
ssc_508010_0030#0,"""이루마야 말로."""
ssc_508010_0040#0,"""로스트 센트럴에 가려던 참이야."""
ssc_508010_0050#0,"""나는 연구를 위한 조사 중이었어."""
ssc_508010_0060#0,"""아, 안심해.<br>로스트 센트럴에 가는 건 아니니까."""
ssc_508010_0070#0,"""그렇구나."""
ssc_508010_0080#0,"""나는 이 근처에서<br>연구용 샘플을 모으고 있던 중이었어."""
ssc_508010_0090#0,"""뭐, 나도 로스트 센트럴에 대한 조사를<br>진행하고 싶긴 했지만."""
ssc_508010_0100#0,"""\""혼자 가지 마!\""라고<br>메리가 엄하게 말했었거든."""
ssc_508010_0110#0,"""저기……."""
ssc_508010_0120#0,"""저번에는,<br>도와줘서 고마워."""
ssc_508010_0130#0,"""정신없이 바빠서<br>제대로 감사 인사도 못한 것 같아서."""
ssc_508010_0140#0,"""그때는<br>밖에서 그렇게 소란스러울 줄 몰랐어."""
ssc_508010_0150#0,"""전파 방해로 연락도 안되고,<br>강해 보이는 돌즈가 밖을 배회하고 있긴 했는데."""
ssc_508010_0160#0,"""음식은 미리 준비해뒀고<br>보고 싶은 자료도 산더미처럼 쌓여 있었거든."""
ssc_508010_0170#0,"""한동안은 거기서 지냈었어.<br>틈이 생기면 빠져나갈까 싶었는데."""
ssc_508010_0180#0,"""제대로 메시지를 남기지 않은 것도<br>잘못했지."""
ssc_508010_0190#0,"""산장 서재에서<br>할아버지의 보고서를 읽었더니……."""
ssc_508010_0200#0,"""센트럴 캐논에 대한<br>설명을 찾았었어."""
ssc_508010_0210#0,"""앗, 이거 대단하다 싶은 생각에<br>정신차려보니 어느새 거길 향해 가고 있었어."""
ssc_508010_0220#0,"""한 가지에 집중하면<br>주변을 신경쓰지 않는 게 내 나쁜 버릇이야."""
ssc_508010_0230#0,"""반성하고 있어."""
ssc_508010_0240#0,"""……그래도 뭐,<br>센트럴 캐논의 개선의 기반은 잡혔으니까."""
ssc_508010_0250#0,"""로스트 센트럴……<br>과거의 센트럴 시티에 대한 조사도 진행 될 거 같은데……"""
ssc_508010_0260#0,"""플러스 마이너스,<br>제로가 아닐까 싶은데…… 어떠려나?"""
ssc_508010_0270#0,"""이루마는 잘 했어."""
ssc_508010_0280#0,"""절대 용서하지 않을거야."""
ssc_508010_0290#0,"""그, 그렇겠지."""
ssc_508010_0300#0,"""아냐<br>메리가 엄청나게 화냈었어."""
ssc_508010_0310#0,"""으윽, 너도 그러는거야?"""
ssc_508010_0320#0,"""그날 숙소에 돌아와서<br>메리에게 엄청나게 혼났어……"""
ssc_508010_0330#0,"""뭐, 그 이후로 외출할 때는<br>누군가에게 말을 거는걸로 하고 있고."""
ssc_508010_0340#0,"""늦게 돌아올 때에도<br>제대로 연락을 하려고 노력하고 있어."""
ssc_508010_0350#0,"""가급적이면,<br>혼자서 행동하지 않으려고."""
ssc_508010_0360#0,"""나 말고 다른 애들도<br>각자 따로따로 행동했었어."""
ssc_508010_0370#0,"""그런데 요즘엔 서로 연락을 주고 받고<br>같이 외출하는 모습을 자주 볼 수 있게 됐어."""
ssc_508010_0380#0,"""뭔가 그 사건 이후로<br>여러모로 달라진 것 같아."""
ssc_508010_0390#0,"""그래서!"""
ssc_508010_0400#0,"""앞으로는 에아리오의 활동에<br>지금보다 더 많이 도와줄게."""
ssc_508010_0410#0,"""센트럴 캐논의 개발도 도울 거고<br>그 외에도 이런저런 지원을 할 생각이야."""
ssc_508010_0420#0,"""그렇게 서로 주고받을 수 있게 되면 진정한 의미로<br>플러스 마이너스 제로가 되겠지."""
ssc_508010_0430#0,"""그럼,<br>다시 한 번 더."""
ssc_508010_0440#0,"""앞으로도 잘 부탁할게."""
